week_number,date,month,year,channel_code,channel_name,subject_id,subject_title,amount,rpm_range
1,2026-01-06,1,2026,FV,Financial Vice,FV001,Jim Bakker - PTL Ministry Scandal,$158M,$20-40
1,2026-01-06,1,2026,CFF,Crypto Forensic Files,CFF001,QuadrigaCX - Gerald Cotten Death Mystery,$190M,$25-45
2,2026-01-13,1,2026,FV,Financial Vice,FV002,Robert Tilton - Success-N-Life Prayer Scam,$80M+,$20-40
2,2026-01-13,1,2026,CFF,Crypto Forensic Files,CFF002,Mt. Gox - Original Bitcoin Heist,$460M,$25-45
3,2026-01-20,1,2026,FV,Financial Vice,FV003,Peter Popoff - Faith Healing Earpiece Scam,$23M+,$20-40
3,2026-01-20,1,2026,CFF,Crypto Forensic Files,CFF003,BitConnect - $2.4B Ponzi (Hey Hey Hey),$2.4B,$25-45
4,2026-01-27,1,2026,FV,Financial Vice,FV004,Creflo Dollar - $65M Private Jet Request,$65M,$20-40
4,2026-01-27,1,2026,CFF,Crypto Forensic Files,CFF004,Cryptopia - Hack That Killed NZ Exchange,$16M,$25-45
5,2026-02-03,2,2026,FV,Financial Vice,FV005,Scientology - IRS Tax Battle Victory,$1B+,$20-40
5,2026-02-03,2,2026,CFF,Crypto Forensic Files,CFF005,Thodex - Turkey's Exchange Vanished Overnight,$2B,$25-45
6,2026-02-10,2,2026,FV,Financial Vice,FV006,LDS Ensign Peak - $100B Hidden Fund,$100B+,$20-40
6,2026-02-10,2,2026,CFF,Crypto Forensic Files,CFF006,Africrypt - South African Brothers Disappearance,$3.6B,$25-45
7,2026-02-17,2,2026,FV,Financial Vice,FV007,Hillsong Church - Global Megachurch Scandal,$100M+,$20-40
7,2026-02-17,2,2026,CFF,Crypto Forensic Files,CFF007,JPEX - Hong Kong Unlicensed Collapse,$200M,$25-45
8,2026-02-24,2,2026,FV,Financial Vice,FV008,Kenneth Copeland - Ministry Empire,$760M+,$20-40
8,2026-02-24,2,2026,CFF,Crypto Forensic Files,CFF008,Voyager Digital - Nasdaq to Bankruptcy,$1.3B,$25-45
9,2026-03-03,3,2026,FV,Financial Vice,FV009,Sam Bankman-Fried - FTX Collapse,$8B,$20-40
9,2026-03-03,3,2026,CFF,Crypto Forensic Files,CFF009,BlockFi - Bet Wrong on FTX,$1B+,$25-45
10,2026-03-10,3,2026,FV,Financial Vice,FV010,Do Kwon - Terra/Luna Collapse,$40B,$20-40
10,2026-03-10,3,2026,CFF,Crypto Forensic Files,CFF010,3AC (Three Arrows Capital) - Hedge Fund Implosion,$3B,$25-45
11,2026-03-17,3,2026,FV,Financial Vice,FV011,Alex Mashinsky - Celsius Network,$4.7B,$20-40
11,2026-03-17,3,2026,CFF,Crypto Forensic Files,CFF011,Squid Game Token - $3.4M Meme Coin Rug Pull,$3.4M,$25-45
12,2026-03-24,3,2026,FV,Financial Vice,FV012,Charlie Javice - Frank Student Aid Fraud,$175M,$20-40
12,2026-03-24,3,2026,CFF,Crypto Forensic Files,CFF012,SafeMoon - The 'Safe' Token That Wasn't,$200M+,$25-45
13,2026-03-31,3,2026,FV,Financial Vice,FV013,Eddy Alexandre - EminiFX Church Ponzi,$248M,$20-40
13,2026-03-31,3,2026,CFF,Crypto Forensic Files,CFF013,Frosties NFT - Disappearing Ice Cream Scam,$1.3M,$25-45
13,2026-03-31,3,2026,SF,Shadow Fortunes,SF001,Inside the IMF: How It Shapes Nations in Crisis,Systemic,$18-35
14,2026-04-07,4,2026,FV,Financial Vice,FV014,Bernie Madoff - $65B Ponzi Scheme,$65B,$20-40
14,2026-04-07,4,2026,CFF,Crypto Forensic Files,CFF014,Bored Bunny NFT - Floyd Mayweather Disaster,$21M,$25-45
14,2026-04-07,4,2026,SF,Shadow Fortunes,SF002,The Bank for International Settlements: World's Most Secretive Bank,Systemic,$18-35
15,2026-04-14,4,2026,FV,Financial Vice,FV015,Allen Stanford - Caribbean Banking Empire,$7B,$20-40
15,2026-04-14,4,2026,CFF,Crypto Forensic Files,CFF015,Evolved Apes NFT - Disappearing Developer,$2.7M,$25-45
15,2026-04-14,4,2026,SF,Shadow Fortunes,SF003,Offshore Havens: Why Billions Vanish into the Caribbean,$Trillions,$18-35
16,2026-04-21,4,2026,FV,Financial Vice,FV016,The South Sea Bubble - First Stock Market Scam,£500M (1720),$20-40
16,2026-04-21,4,2026,CFF,Crypto Forensic Files,CFF016,AnubisDAO - $60M Dog Token Vanished,$60M,$25-45
16,2026-04-21,4,2026,SF,Shadow Fortunes,SF004,The Rise of Sovereign Wealth Funds: Nations as Investors,$10T+,$18-35
17,2026-04-28,4,2026,FV,Financial Vice,FV017,Colonial Realty - Connecticut's Ponzi,$312M,$20-40
17,2026-04-28,4,2026,CFF,Crypto Forensic Files,CFF017,Meerkat Finance - $31M Inside Job 'Hack',$31M,$25-45
17,2026-04-28,4,2026,SF,Shadow Fortunes,SF005,Petrodollar Power: How Oil Became America's Silent Weapon,Systemic,$18-35
18,2026-05-05,5,2026,FV,Financial Vice,FV018,Enron - Smartest Guys Who Lost Everything,$74B,$20-40
18,2026-05-05,5,2026,CFF,Crypto Forensic Files,CFF018,Iron Finance/TITAN - Mark Cuban's Collapse,$2B,$25-45
18,2026-05-05,5,2026,SF,Shadow Fortunes,SF006,The Hidden Trillions of the Shadow Banking System,$Trillions,$18-35
19,2026-05-12,5,2026,FV,Financial Vice,FV019,WorldCom - When Numbers Lied to Wall Street,$11B,$20-40
19,2026-05-12,5,2026,CFF,Crypto Forensic Files,CFF019,Wonderland/TIME - CFO Was Convicted Felon,$1B+,$25-45
19,2026-05-12,5,2026,SF,Shadow Fortunes,SF007,How Money Laundering Keeps the Global Economy Flowing,$2T+ Annually,$18-35
20,2026-05-19,5,2026,FV,Financial Vice,FV020,Lehman Brothers - Bank That Triggered Global Crash,$639B,$20-40
20,2026-05-19,5,2026,CFF,Crypto Forensic Files,CFF020,Compound Finance Glitch - $80M Giveaway,$80M,$25-45
20,2026-05-19,5,2026,SF,Shadow Fortunes,SF008,The London Laundromat: Dirty Cash in World's Finance Capital,$80B+,$18-35
21,2026-05-26,5,2026,FV,Financial Vice,FV021,Parmalat - Italy's $20B Dairy Disaster,$20B,$20-40
21,2026-05-26,5,2026,CFF,Crypto Forensic Files,CFF021,Ronin Bridge - North Korea's $620M Theft,$620M,$25-45
21,2026-05-26,5,2026,SF,Shadow Fortunes,SF009,Swiss Banks & Secrecy Laws: Why Billionaires Trust Them,$Trillions,$18-35
22,2026-06-02,6,2026,FV,Financial Vice,FV022,HealthSouth - Cooking the Books,$2.7B,$20-40
22,2026-06-02,6,2026,CFF,Crypto Forensic Files,CFF022,Wormhole Bridge - $320M Cross-Chain Exploit,$320M,$25-45
22,2026-06-02,6,2026,SF,Shadow Fortunes,SF010,Narco Dollars: How Cartel Money Infiltrates Wall Street,$Hundreds of Billions,$18-35
23,2026-06-09,6,2026,FV,Financial Vice,FV023,Luckin Coffee - China's Fake Starbucks,$4.5B,$20-40
23,2026-06-09,6,2026,CFF,Crypto Forensic Files,CFF023,Nomad Bridge - $190M Chaotic Free-For-All,$190M,$25-45
23,2026-06-09,6,2026,SF,Shadow Fortunes,SF011,Sanctions as Economic Warfare: Freezing Nations into Collapse,Systemic,$18-35
24,2026-06-16,6,2026,FV,Financial Vice,FV024,Wirecard - Germany's Billion-Dollar Phantom,$2B,$20-40
24,2026-06-16,6,2026,CFF,Crypto Forensic Files,CFF024,Poly Network - $610M Hack (Hacker Returned It),$610M,$25-45
24,2026-06-16,6,2026,SF,Shadow Fortunes,SF012,The Yuan Challenge: Can China Replace the Dollar?,Systemic,$18-35
25,2026-06-23,6,2026,FV,Financial Vice,FV025,Crazy Eddie - America's Most Fraudulent Retailer,$145M,$20-40
25,2026-06-23,6,2026,CFF,Crypto Forensic Files,CFF025,Cream Finance - Hacked 3 Times for $130M+,$130M+,$25-45
25,2026-06-23,6,2026,SF,Shadow Fortunes,SF013,Economic Siege: How Nations Use Debt as a Weapon,Systemic,$18-35
26,2026-06-30,6,2026,FV,Financial Vice,FV026,Tyco International - CEO Greed on Display,$600M,$20-40
26,2026-06-30,6,2026,CFF,Crypto Forensic Files,CFF026,Mango Markets - $114M Legal Market Manipulation,$114M,$25-45
26,2026-06-30,6,2026,SF,Shadow Fortunes,SF014,BRICS vs. The Dollar: The Coming Currency Showdown,Systemic,$18-35
27,2026-07-07,7,2026,FV,Financial Vice,FV027,Barings Bank - Rogue Trader Who Sank It,$1.3B,$20-40
27,2026-07-07,7,2026,CFF,Crypto Forensic Files,CFF027,Euler Finance - $197M Flash Loan Attack,$197M,$25-45
27,2026-07-07,7,2026,SF,Shadow Fortunes,SF015,The Euro Crisis: When Unity Nearly Bankrupted Europe,$Trillions at Risk,$18-35
28,2026-07-14,7,2026,FV,Financial Vice,FV028,Long-Term Capital Management - Hedge Fund Meltdown,$4.6B,$20-40
28,2026-07-14,7,2026,CFF,Crypto Forensic Files,CFF028,Beanstalk Farms - $182M Governance Attack,$182M,$25-45
28,2026-07-14,7,2026,SF,Shadow Fortunes,SF016,Enron: The Company That Lied to the World,$74B,$18-35
29,2026-07-21,7,2026,FV,Financial Vice,FV029,Charles Keating - S&L Crisis,$3.4B,$20-40
29,2026-07-21,7,2026,CFF,Crypto Forensic Files,CFF029,Harmony Bridge - $100M North Korean Heist,$100M,$25-45
29,2026-07-21,7,2026,SF,Shadow Fortunes,SF017,Lehman Brothers: The Collapse That Sparked 2008,$639B,$18-35
30,2026-07-28,7,2026,FV,Financial Vice,FV030,Colonial Bank Fraud - Biggest in Banking History,$3B,$20-40
30,2026-07-28,7,2026,CFF,Crypto Forensic Files,CFF030,Wintermute - $160M Market Maker Hack,$160M,$25-45
30,2026-07-28,7,2026,SF,Shadow Fortunes,SF018,The LIBOR Scandal: How Banks Rigged World's Interest Rates,$9B Fines,$18-35
31,2026-08-04,8,2026,FV,Financial Vice,FV031,Peregrine Financial - $200M Lie,$215M,$20-40
31,2026-08-04,8,2026,CFF,Crypto Forensic Files,CFF031,Logan Paul's CryptoZoo - NFT Game Never Worked,$2M+ Losses,$25-45
31,2026-08-04,8,2026,SF,Shadow Fortunes,SF019,Iceland's Financial Meltdown: When a Nation Went Bankrupt,$100B Collapse,$18-35
32,2026-08-11,8,2026,FV,Financial Vice,FV032,Valeant Pharmaceuticals - Wall Street Greed,$10B+ Loss,$20-40
32,2026-08-11,8,2026,CFF,Crypto Forensic Files,CFF032,Kim Kardashian's EthereumMax - $1.26M SEC Fine,$1.26M,$25-45
32,2026-08-11,8,2026,SF,Shadow Fortunes,SF020,The 2008 Financial Crisis: Systemic Failure Explained,$Trillions Lost,$18-35
33,2026-08-18,8,2026,FV,Financial Vice,FV033,Martin Shkreli - Daraprim Price Hike,$200M Fraud,$20-40
33,2026-08-18,8,2026,CFF,Crypto Forensic Files,CFF033,Save the Kids - FaZe Clan Pump and Dump,Millions Lost,$25-45
33,2026-08-18,8,2026,SF,Shadow Fortunes,SF021,Dictators' Hidden Treasuries: Marcos Gaddafi and More,$Hundreds of Billions,$18-35
33,2026-08-18,8,2026,USM,USA Money Flow,UMF001,Who Profits From Your Student Loans,$1.7T Market,$15-30
34,2026-08-25,8,2026,FV,Financial Vice,FV034,Toshiba Accounting Scandal,$1.2B,$20-40
34,2026-08-25,8,2026,CFF,Crypto Forensic Files,CFF034,Matt Damon's Crypto.com - Fortune Favors Crash,Brand Damage,$25-45
34,2026-08-25,8,2026,SF,Shadow Fortunes,SF022,Blood Diamonds: The True Cost of Luxury,$Billions,$18-35
34,2026-08-25,8,2026,USM,USA Money Flow,UMF002,Student Loan Servicer Report Card: Who's Worst?,$Billions,$15-30
35,2026-09-01,9,2026,FV,Financial Vice,FV035,Satyam - India's Enron,$1B,$20-40
35,2026-09-01,9,2026,CFF,Crypto Forensic Files,CFF035,Tom Brady & Gisele - FTX Left Holding Nothing,$650M Lawsuit,$25-45
35,2026-09-01,9,2026,SF,Shadow Fortunes,SF023,Gold Smuggling Empires: The Oldest Shadow Market,$Billions,$18-35
35,2026-09-01,9,2026,USM,USA Money Flow,UMF003,What the Government Pays Student Loan Companies,$Billions Annually,$15-30
36,2026-09-08,9,2026,FV,Financial Vice,FV036,Nikko Securities Fraud,$225M,$20-40
36,2026-09-08,9,2026,CFF,Crypto Forensic Files,CFF036,BitBoy Crypto - Ben Armstrong Implosion,Channel Collapse,$25-45
36,2026-09-08,9,2026,SF,Shadow Fortunes,SF024,Art as Money: How Billionaires Hide Billions in Paintings,$Billions,$18-35
36,2026-09-08,9,2026,USM,USA Money Flow,UMF004,The Student Loan Forgiveness Money Trail,$Billions,$15-30
37,2026-09-15,9,2026,FV,Financial Vice,FV037,Michael Milken - Junk Bond King,$550M Fine,$20-40
37,2026-09-15,9,2026,CFF,Crypto Forensic Files,CFF037,Jake Paul's Safemoon - Influencer Pump,Lawsuit Filed,$25-45
37,2026-09-15,9,2026,SF,Shadow Fortunes,SF025,The Vatican Bank: Holy Wealth or Hidden Empire?,$Billions,$18-35
37,2026-09-15,9,2026,USM,USA Money Flow,UMF005,MOHELA vs. Nelnet: Contract Comparison Exposed,$Billions,$15-30
37,2026-09-15,9,2026,HH,Healthcare Heist,HH001,Rick Scott's Columbia/HCA - $1.7B Medicare Fraud,$1.7B,$18-35
38,2026-09-22,9,2026,FV,Financial Vice,FV038,Junk Bond Boom & Bust,$189B Market,$20-40
38,2026-09-22,9,2026,CFF,Crypto Forensic Files,CFF038,Larry David FTX Super Bowl - Worst Endorsement,Brand Damage,$25-45
38,2026-09-22,9,2026,SF,Shadow Fortunes,SF026,Panama Papers: Exposing Offshore Secrets of the Rich,214K Entities,$18-35
38,2026-09-22,9,2026,USM,USA Money Flow,UMF006,Where Your Medicare Money Actually Goes,$1T+ Annually,$15-30
38,2026-09-22,9,2026,HH,Healthcare Heist,HH002,Detroit Medicare Fraud Capital - $500M+ Claims,$500M+,$18-35
39,2026-09-29,9,2026,FV,Financial Vice,FV039,Insider Trading Wars of Wall Street,Multiple Cases,$20-40
39,2026-09-29,9,2026,CFF,Crypto Forensic Files,CFF039,Soulja Boy's Multiple Rug Pulls,Multiple Tokens,$25-45
39,2026-09-29,9,2026,SF,Shadow Fortunes,SF027,Paradise Papers: The Second Leak of Billionaire Secrets,13.4M Documents,$18-35
39,2026-09-29,9,2026,USM,USA Money Flow,UMF007,Medicare Advantage: The Companies Getting Rich,$Hundreds of Billions,$15-30
39,2026-09-29,9,2026,HH,Healthcare Heist,HH003,Dr. Farid Fata - Chemo to Healthy Patients,$34M,$18-35
40,2026-10-06,10,2026,FV,Financial Vice,FV040,Jordan Belfort - Wolf of Wall Street,$200M,$20-40
40,2026-10-06,10,2026,CFF,Crypto Forensic Files,CFF040,Lil Yachty YachtyCoin Disasters,Multiple Tokens,$25-45
40,2026-10-06,10,2026,SF,Shadow Fortunes,SF028,Shell Companies Explained: How the Wealthy Disappear Money,Systemic,$18-35
40,2026-10-06,10,2026,USM,USA Money Flow,UMF008,What Hospitals Get Paid by Medicare,$Billions,$15-30
40,2026-10-06,10,2026,HH,Healthcare Heist,HH004,Phillip Esformes - $1.3B Nursing Home Kickbacks,$1.3B,$18-35
41,2026-10-13,10,2026,FV,Financial Vice,FV041,Bre-X Gold Mining Fraud,$6B,$20-40
41,2026-10-13,10,2026,CFF,Crypto Forensic Files,CFF041,OneCoin - Ruja's $4B Cryptoqueen Ponzi,$4B,$25-45
41,2026-10-13,10,2026,SF,Shadow Fortunes,SF029,Delaware: America's Own Tax Haven,1.5M Entities,$18-35
41,2026-10-13,10,2026,USM,USA Money Flow,UMF009,Medicare Part D: Who Profits From Drug Coverage,$100B+,$15-30
41,2026-10-13,10,2026,HH,Healthcare Heist,HH005,Texas Home Health Tsunami - $375M False Claims,$375M,$18-35
42,2026-10-20,10,2026,FV,Financial Vice,FV042,Volkswagen Dieselgate,$30B+,$20-40
42,2026-10-20,10,2026,CFF,Crypto Forensic Files,CFF042,PlusToken - China's $2B Crypto Ponzi,$2B,$25-45
42,2026-10-20,10,2026,SF,Shadow Fortunes,SF030,The Cayman Islands Economy: Built on Hidden Billions,$Trillions,$18-35
42,2026-10-20,10,2026,USM,USA Money Flow,UMF010,The Medicare Administrative Contractors Exposed,$Billions,$15-30
42,2026-10-20,10,2026,HH,Healthcare Heist,HH006,Dr. Jacques Roy - 11000 Patients $375M Fraud,$375M,$18-35
43,2026-10-27,10,2026,FV,Financial Vice,FV043,FIFA Corruption Scandal,$150M+,$20-40
43,2026-10-27,10,2026,CFF,Crypto Forensic Files,CFF043,Bitclub Network - $722M Mining Pool Fraud,$722M,$25-45
43,2026-10-27,10,2026,SF,Shadow Fortunes,SF031,Belt and Road Debt Traps: How China Buys Influence,$1T+ Projects,$18-35
43,2026-10-27,10,2026,USM,USA Money Flow,UMF011,The Biggest PPP Loan Winners Exposed,$800B Program,$15-30
43,2026-10-27,10,2026,HH,Healthcare Heist,HH007,Miami HIV Infusion Fraud Ring - $1B+ Fake Treatments,$1B+,$18-35
44,2026-11-03,11,2026,FV,Financial Vice,FV044,Libor Rate Rigging,$9B Fines,$20-40
44,2026-11-03,11,2026,CFF,Crypto Forensic Files,CFF044,Mirror Trading International - SA's $589M Scam,$589M,$25-45
44,2026-11-03,11,2026,SF,Shadow Fortunes,SF032,Ghost Projects: Abandoned Mega-Builds That Bankrupted Nations,$Hundreds of Billions,$18-35
44,2026-11-03,11,2026,USM,USA Money Flow,UMF012,PPP Money: Three Years Later Where Did It Go?,$800B,$15-30
44,2026-11-03,11,2026,HH,Healthcare Heist,HH008,Ambulance Chasers - $450M Dialysis Transport,$450M,$18-35
45,2026-11-10,11,2026,FV,Financial Vice,FV045,Facebook-Cambridge Analytica,87M Users,$20-40
45,2026-11-10,11,2026,CFF,Crypto Forensic Files,CFF045,USI-Tech - German Crypto Trading Bot Ponzi,$150M+,$25-45
45,2026-11-10,11,2026,SF,Shadow Fortunes,SF033,Olympic Economics: The Hidden Costs of Hosting Games,$Billions per Event,$18-35
45,2026-11-10,11,2026,USM,USA Money Flow,UMF013,Public Companies That Took PPP Loans,$Billions,$15-30
45,2026-11-10,11,2026,HH,Healthcare Heist,HH009,Compounding Pharmacy - Billions in Cream Fraud,$Billions,$18-35
46,2026-11-17,11,2026,FV,Financial Vice,FV046,Uber's Culture of Chaos,$10B Impact,$20-40
46,2026-11-17,11,2026,CFF,Crypto Forensic Files,CFF046,Forsage - Ethereum Smart Contract Pyramid,$300M+,$25-45
46,2026-11-17,11,2026,SF,Shadow Fortunes,SF034,Mega Dams: Power Corruption and Displacement,$Billions,$18-35
46,2026-11-17,11,2026,USM,USA Money Flow,UMF014,PPP Fraud: The Biggest Cases and Recoveries,$Billions,$15-30
46,2026-11-17,11,2026,HH,Healthcare Heist,HH010,Melgen & Menendez - $105M Medicare Eye Doctor,$105M,$18-35
47,2026-11-24,11,2026,FV,Financial Vice,FV047,Wells Fargo Fake Accounts,$3B Settlement,$20-40
47,2026-11-24,11,2026,CFF,Crypto Forensic Files,CFF047,Finiko - Russia's $1B Crypto Ponzi,$1B,$25-45
47,2026-11-24,11,2026,SF,Shadow Fortunes,SF035,Dubai's Debt Crisis: The Hidden Cost of Glittering Towers,$80B Bailout,$18-35
47,2026-11-24,11,2026,USM,USA Money Flow,UMF015,Banks That Profited From PPP Processing,$Billions,$15-30
47,2026-11-24,11,2026,HH,Healthcare Heist,HH011,Hospice Hustle - Enrolling Living Patients,Ongoing,$18-35
48,2026-12-01,12,2026,FV,Financial Vice,FV048,Herbalife - Pyramid or Marketing?,$200M Settlement,$20-40
48,2026-12-01,12,2026,CFF,Crypto Forensic Files,CFF048,HashFlare - Cloud Mining Scam $575M,$575M,$25-45
48,2026-12-01,12,2026,SF,Shadow Fortunes,SF036,How the CIA Used Banks to Move Money in Cold War,Classified,$18-35
48,2026-12-01,12,2026,USM,USA Money Flow,UMF016,What the Government Pays McKinsey,$Billions,$15-30
48,2026-12-01,12,2026,HH,Healthcare Heist,HH012,COVID Testing Fraud - Pandemic Billing Bonanza,$Billions,$18-35
49,2026-12-08,12,2026,FV,Financial Vice,FV049,Dot-Com Bust's Biggest Frauds,$Trillions Lost,$20-40
49,2026-12-08,12,2026,CFF,Crypto Forensic Files,CFF049,Trade Coin Club - $295M Crypto Trading Ponzi,$295M,$25-45
49,2026-12-08,12,2026,SF,Shadow Fortunes,SF037,Mossad MI6 & Offshore Networks: Secret Finance in Intelligence,Classified,$18-35
49,2026-12-08,12,2026,USM,USA Money Flow,UMF017,Booz Allen Hamilton: The Government's IT Department,$Billions,$15-30
49,2026-12-08,12,2026,HH,Healthcare Heist,HH013,Tenet Healthcare Unnecessary Heart Surgeries - 769 Patients,$54M,$18-35
49,2026-12-08,12,2026,RER,Real Estate Rackets,RER001,Countrywide Financial - Angelo Mozilo's Subprime Machine,$Billions,$15-30
50,2026-12-15,12,2026,FV,Financial Vice,FV050,Mirror Trading & Russia's Laundering Networks,$Billions,$20-40
50,2026-12-15,12,2026,CFF,Crypto Forensic Files,CFF050,Hyperverse/HyperFund - $1.3B Australian MLM,$1.3B,$25-45
50,2026-12-15,12,2026,SF,Shadow Fortunes,SF038,The Swiss Vaults That Hid Nazi Gold,$Billions,$18-35
50,2026-12-15,12,2026,USM,USA Money Flow,UMF018,Federal IT Project Disasters and Costs,$Billions Wasted,$15-30
50,2026-12-15,12,2026,HH,Healthcare Heist,HH014,HCA's Upcoding Empire - Never Rendered Services,$1.7B (partial),$18-35
50,2026-12-15,12,2026,RER,Real Estate Rackets,RER002,Washington Mutual - Largest Bank Failure in U.S. History,$307B Collapse,$15-30
51,2026-12-22,12,2026,FV,Financial Vice,FV051,Adelphia Communications - Family Stole $2.3B,$2.3B,$20-40
51,2026-12-22,12,2026,SF,Shadow Fortunes,SF039,Iran-Contra: How Secret Money Fueled Shadow Wars,$Millions,$18-35
51,2026-12-22,12,2026,USM,USA Money Flow,UMF019,The Big Four Consulting Firms' Government Money,$Billions,$15-30
51,2026-12-22,12,2026,HH,Healthcare Heist,HH015,Community Health Systems - $98M Unnecessary Admissions,$98M,$18-35
51,2026-12-22,12,2026,RER,Real Estate Rackets,RER003,New Century Financial - Subprime Lender That Started Crash,$1.75B,$15-30
52,2026-12-29,12,2026,FV,Financial Vice,FV052,Refco - Futures Broker's $430M Fraud,$430M,$20-40
52,2026-12-29,12,2026,SF,Shadow Fortunes,SF040,Dark Money in Politics: Who Really Buys Elections?,$Billions,$18-35
52,2026-12-29,12,2026,USM,USA Money Flow,UMF020,Accenture Federal Services: Contracts Breakdown,$Billions,$15-30
52,2026-12-29,12,2026,HH,Healthcare Heist,HH016,The $700 Tylenol - Hospital Chargemaster Secrets,Systemic,$18-35
52,2026-12-29,12,2026,RER,Real Estate Rackets,RER004,IndyMac - The $32B Bank Seized by FDIC,$32B,$15-30
53,2027-01-05,1,2027,FV,Financial Vice,FV053,MF Global - $1.6B Customer Funds Vanished,$1.6B,$20-40
