week_number,date,month,year,channel_code,channel_name,subject_id,subject_title,amount,rpm_range
53,2027-01-05,1,2027,SF,Shadow Fortunes,SF041,Bitcoin vs. Central Banks: The New Financial Cold War,Systemic,$18-35
53,2027-01-05,1,2027,USM,USA Money Flow,UMF021,Why Insulin Costs $300: The Money Trail,$35B Market,$15-30
53,2027-01-05,1,2027,HH,Healthcare Heist,HH017,Surprise Billing - Out-of-Network Anesthesiologist Trap,$100K+ Bills,$18-35
53,2027-01-05,1,2027,RER,Real Estate Rackets,RER005,Taylor Bean & Whitaker - $3B Mortgage Fraud Nobody Heard Of,$3B,$15-30
54,2027-01-12,1,2027,FV,Financial Vice,FV054,The Travelers Insurance Fraud - Oldest US Fraud,$100M+,$20-40
54,2027-01-12,1,2027,SF,Shadow Fortunes,SF042,Tether: The Stablecoin That Could Break the Market,$100B+,$18-35
54,2027-01-12,1,2027,USM,USA Money Flow,UMF022,Medicare's Most Expensive Drugs Ranked,$Billions,$15-30
54,2027-01-12,1,2027,HH,Healthcare Heist,HH018,Air Ambulance Racket - $50K Helicopter Rides,Ongoing,$18-35
54,2027-01-12,1,2027,RER,Real Estate Rackets,RER006,Lee Farkas - Colonial Bank Mortgage Fraud Mastermind,$2.9B,$15-30
55,2027-01-19,1,2027,SF,Shadow Fortunes,SF043,How North Korea Launders Money with Crypto,$Billions,$18-35
55,2027-01-19,1,2027,USM,USA Money Flow,UMF023,What the VA Pays for Prescription Drugs,$Billions,$15-30
55,2027-01-19,1,2027,HH,Healthcare Heist,HH019,LabCorp & Quest - Unnecessary Testing Mills,Multiple Settlements,$18-35
55,2027-01-19,1,2027,RER,Real Estate Rackets,RER007,Ameriquest - The Predatory Lending Pioneer,$325M Settlement,$15-30
56,2027-01-26,1,2027,SF,Shadow Fortunes,SF044,Central Bank Digital Currencies: A Tool of Control?,Systemic,$18-35
56,2027-01-26,1,2027,USM,USA Money Flow,UMF024,Humira: How One Drug Costs Taxpayers Billions,$20B+ Sales,$15-30
56,2027-01-26,1,2027,HH,Healthcare Heist,HH020,340B Drug Pricing Loophole - Hospital Windfalls,$Billions,$18-35
56,2027-01-26,1,2027,RER,Real Estate Rackets,RER008,Option One Mortgage - H&R Block Subprime Disaster,$Billions,$15-30
57,2027-02-02,2,2027,SF,Shadow Fortunes,SF045,The Rise of Fintech Scams: Beyond Wirecard,$Billions,$18-35
57,2027-02-02,2,2027,USM,USA Money Flow,UMF025,Drug Price Inflation vs. Federal Spending,$Billions,$15-30
57,2027-02-02,2,2027,HH,Healthcare Heist,HH021,Purdue Pharma - OxyContin Death Machine,$8.3B Settlement,$18-35
57,2027-02-02,2,2027,RER,Real Estate Rackets,RER009,Bear Stearns Mortgage Securities - First Domino to Fall,$Billions,$15-30
58,2027-02-09,2,2027,SF,Shadow Fortunes,SF046,Human Trafficking Economics: World's $150B Black Market,$150B,$18-35
58,2027-02-09,2,2027,USM,USA Money Flow,UMF026,The Pentagon's Top 50 Contractors Ranked,$400B+,$15-30
58,2027-02-09,2,2027,HH,Healthcare Heist,HH022,J&J's Opioid Pipeline - Feeding the Crisis,$8.9B Settlement,$18-35
58,2027-02-09,2,2027,RER,Real Estate Rackets,RER010,Robo-Signing Scandal - Banks Foreclosing Without Reading,Millions of Homes,$15-30
59,2027-02-16,2,2027,SF,Shadow Fortunes,SF047,Sanction Evasion: Secret Routes That Keep Regimes Alive,Systemic,$18-35
59,2027-02-16,2,2027,USM,USA Money Flow,UMF027,Lockheed Martin: How They Make $65 Billion,$65B Annually,$15-30
59,2027-02-16,2,2027,HH,Healthcare Heist,HH023,Insys Therapeutics - Bribing Doctors for Fentanyl,Bankruptcy,$18-35
59,2027-02-16,2,2027,RER,Real Estate Rackets,RER011,WeWork's Real Estate Shell Game - $47B to Near-Zero,$47B Collapse,$15-30
60,2027-02-23,2,2027,SF,Shadow Fortunes,SF048,Rare Earth Metals: The Shadow War Behind Smartphones,$Billions,$18-35
60,2027-02-23,2,2027,USM,USA Money Flow,UMF028,The F-35: Every Dollar Accounted For,$1.7T Program,$15-30
60,2027-02-23,2,2027,HH,Healthcare Heist,HH024,Valeant's Price Gouging - 800% Drug Hikes,Stock Crash,$18-35
60,2027-02-23,2,2027,RER,Real Estate Rackets,RER012,Brookfield's Mall Empire - Buying Dying Shopping Centers,$Billions,$15-30
61,2027-03-02,3,2027,SF,Shadow Fortunes,SF049,The Resource Curse: Why Oil-Rich Nations Stay Poor,Systemic,$18-35
61,2027-03-02,3,2027,USM,USA Money Flow,UMF029,No-Bid Defense Contracts: Who Gets Them,$Billions,$15-30
61,2027-03-02,3,2027,HH,Healthcare Heist,HH025,Mylan's EpiPen - $100 to $600 Price Explosion,$465M Settlement,$18-35
61,2027-03-02,3,2027,RER,Real Estate Rackets,RER013,Evergrande Collapse - China's $300B Real Estate Ponzi,$300B,$15-30
61,2027-03-02,3,2027,PMF,Political Money Flow,PMF001,Nancy Pelosi's Stock Trades - Speaker of the Portfolio,$Millions,$15-28
62,2027-03-09,3,2027,SF,Shadow Fortunes,SF050,Black Markets in Wartime: How Conflict Breeds Secret Wealth,$Billions,$18-35
62,2027-03-09,3,2027,USM,USA Money Flow,UMF030,Defense Spending by Congressional District,$Billions,$15-30
62,2027-03-09,3,2027,HH,Healthcare Heist,HH026,Gilead's $1000/Pill Hepatitis C Cure - Sovaldi Pricing,$84K Treatment,$18-35
62,2027-03-09,3,2027,RER,Real Estate Rackets,RER014,Starwood Capital's CMBS Games - Packaging Bad Loans,$Billions,$15-30
62,2027-03-09,3,2027,PMF,Political Money Flow,PMF002,Richard Burr's COVID Stock Dump,$1.7M,$15-28
63,2027-03-16,3,2027,USM,USA Money Flow,UMF031,Where EV Subsidies Actually Go,$Billions,$15-30
63,2027-03-16,3,2027,HH,Healthcare Heist,HH027,Generic Drug Price-Fixing Cartel - 300+ Drugs,1000%+ Increases,$18-35
63,2027-03-16,3,2027,RER,Real Estate Rackets,RER015,iStar Financial - CRE Lender That Nearly Imploded,$2B+ Losses,$15-30
63,2027-03-16,3,2027,PMF,Political Money Flow,PMF003,Kelly Loeffler's Pandemic Trades,Senator + NYSE Chairman,$15-28
64,2027-03-23,3,2027,USM,USA Money Flow,UMF032,Tesla's Government Money: Complete Analysis,$Billions,$15-30
64,2027-03-23,3,2027,HH,Healthcare Heist,HH028,GlaxoSmithKline's $3B Fraud - Hiding Paxil Risks,$3B Settlement,$18-35
64,2027-03-23,3,2027,RER,Real Estate Rackets,RER016,General Growth Properties - $27B Mall REIT Bankruptcy,$27B,$15-30
64,2027-03-23,3,2027,PMF,Political Money Flow,PMF004,Dianne Feinstein's Husband's Trades,Decades of Timing,$15-28
65,2027-03-30,3,2027,USM,USA Money Flow,UMF033,Clean Energy Winners and Losers,$Billions,$15-30
65,2027-03-30,3,2027,HH,Healthcare Heist,HH029,Pfizer's $2.3B Bextra Settlement - Off-Label Marketing,$2.3B,$18-35
65,2027-03-30,3,2027,RER,Real Estate Rackets,RER017,Stuyvesant Town - $5.4B Apartment Complex Disaster,$5.4B,$15-30
65,2027-03-30,3,2027,PMF,Political Money Flow,PMF005,David Perdue - 2596 Trades in One Term,Most Active Ever,$15-28
66,2027-04-06,4,2027,USM,USA Money Flow,UMF034,Battery Plant Subsidies: Who Gets Billions,$Billions,$15-30
66,2027-04-06,4,2027,HH,Healthcare Heist,HH030,Abbott's Depakote Nursing Home Push - Sedating Elderly,$1.5B,$18-35
66,2027-04-06,4,2027,RER,Real Estate Rackets,RER018,Hudson Yards Tax Break - $6B in Public Subsidies for Luxury,$6B Subsidies,$15-30
66,2027-04-06,4,2027,PMF,Political Money Flow,PMF006,Tommy Tuberville's 130+ STOCK Act Violations,Still Serving,$15-28
67,2027-04-13,4,2027,USM,USA Money Flow,UMF035,Solar and Wind Subsidies by Company,$Billions,$15-30
67,2027-04-13,4,2027,HH,Healthcare Heist,HH031,Ranbaxy - Indian Generic Giant Built on Fraud,$500M,$18-35
67,2027-04-13,4,2027,RER,Real Estate Rackets,RER019,Kushner Companies' 666 Fifth Avenue - $1.8B Bailout,$1.8B,$15-30
67,2027-04-13,4,2027,PMF,Political Money Flow,PMF007,Dan Crenshaw's Defense Stock Trades,Committee Overlap,$15-28
68,2027-04-20,4,2027,USM,USA Money Flow,UMF036,CoreCivic Federal Contracts Exposed,$Billions,$15-30
68,2027-04-20,4,2027,HH,Healthcare Heist,HH032,Insulin Price Conspiracy - Why Diabetics Pay $300/Vial,Ongoing Litigation,$18-35
68,2027-04-20,4,2027,RER,Real Estate Rackets,RER020,Office Apocalypse 2024 - $1.5 Trillion CRE Crisis,$1.5T at Risk,$15-30
68,2027-04-20,4,2027,PMF,Political Money Flow,PMF008,Josh Gottheimer's Tech Trades on Committees,Suspicious Timing,$15-28
69,2027-04-27,4,2027,USM,USA Money Flow,UMF037,GEO Group: Detention Center Profits,$Billions,$15-30
69,2027-04-27,4,2027,HH,Healthcare Heist,HH033,WellCare's $400M Medicaid Fraud - Hiding Profits,$400M,$18-35
69,2027-04-27,4,2027,RER,Real Estate Rackets,RER021,Blackstone's Invitation Homes - Wall Street Becomes Landlord,80K+ Homes,$15-30
69,2027-04-27,4,2027,PMF,Political Money Flow,PMF009,Citizens United - How Corporations Became People,Foundational Case,$15-28
70,2027-05-04,5,2027,USM,USA Money Flow,UMF038,Private Prison vs. Public: Cost Comparison,$Billions,$15-30
70,2027-05-04,5,2027,HH,Healthcare Heist,HH034,UnitedHealth Medicare Advantage Overbilling - $Billions at Stake,$Billions,$18-35
70,2027-05-04,5,2027,RER,Real Estate Rackets,RER022,Jared Kushner's Baltimore Slums - Suing Tenants Buildings Rot,Thousands of Units,$15-30
70,2027-05-04,5,2027,PMF,Political Money Flow,PMF010,Dark Money Explained - The Untraceable Billions,$Billions,$15-28
71,2027-05-11,5,2027,USM,USA Money Flow,UMF039,ICE Detention Spending: Where It Goes,$Billions,$15-30
71,2027-05-11,5,2027,HH,Healthcare Heist,HH035,The Disability Mill - Exposed by 60 Minutes,Systemic,$18-35
71,2027-05-11,5,2027,RER,Real Estate Rackets,RER023,Veritas Investments - San Francisco's Eviction Machine,300+ Buildings,$15-30
71,2027-05-11,5,2027,PMF,Political Money Flow,PMF011,Lincoln Project's $90M Spending Mystery,$90M,$15-28
72,2027-05-18,5,2027,USM,USA Money Flow,UMF040,Federal Prison Industry Contracts,$Billions,$15-30
72,2027-05-18,5,2027,HH,Healthcare Heist,HH036,Health Insurance Churning - Short-Term Plan Trap,Ongoing,$18-35
72,2027-05-18,5,2027,RER,Real Estate Rackets,RER024,Rent-to-Own Trap - Vision Property Management Scheme,Thousands of Victims,$15-30
72,2027-05-18,5,2027,PMF,Political Money Flow,PMF012,Karl Rove's Crossroads GPS - Pioneer of Dark Money,$Hundreds of Millions,$15-28
73,2027-05-25,5,2027,USM,USA Money Flow,UMF041,Infrastructure Bill: Where the Money Went,$1.2T,$15-30
73,2027-05-25,5,2027,HH,Healthcare Heist,HH037,Prior Authorization Deaths - When Insurers Practice Medicine,Ongoing,$18-35
73,2027-05-25,5,2027,RER,Real Estate Rackets,RER025,Airbnb's Housing Crisis - Short-Term Rentals Kill Neighborhoods,Millions of Units,$15-30
73,2027-05-25,5,2027,PMF,Political Money Flow,PMF013,Priorities USA - Democratic Super PAC Machine,$Hundreds of Millions,$15-28
73,2027-05-25,5,2027,TC,Tax Crimes,TC001,Wesley Snipes - The $15 Million 861 Argument Disaster,$15M,$20-38
74,2027-06-01,6,2027,USM,USA Money Flow,UMF042,Highway Construction: Cost Overruns Exposed,$Billions,$15-30
74,2027-06-01,6,2027,HH,Healthcare Heist,HH038,The PBM Middlemen - How Drug Prices Get Inflated,Ongoing,$18-35
74,2027-06-01,6,2027,RER,Real Estate Rackets,RER026,Mobile Home Park Private Equity - Raising Lot Rents on Captives,100K+ Lots,$15-30
74,2027-06-01,6,2027,PMF,Political Money Flow,PMF014,Scam PACs - Fundraising Operations Keep 90%,$Billions Raised,$15-28
74,2027-06-01,6,2027,TC,Tax Crimes,TC002,Nicolas Cage - How a $150 Million Fortune Became $6 Million in Tax Debt,$6M Debt,$20-38
75,2027-06-08,6,2027,USM,USA Money Flow,UMF043,Bridge Repair Spending vs. Actual Conditions,$Billions,$15-30
75,2027-06-08,6,2027,HH,Healthcare Heist,HH039,The Essure Sterilization Nightmare - Bayer's Deadly Implant,27K+ Reports,$18-35
75,2027-06-08,6,2027,RER,Real Estate Rackets,RER027,NYC Preferential Rent Scam - Landlords' Legal Rent Hike Loophole,Millions Affected,$15-30
75,2027-06-08,6,2027,PMF,Political Money Flow,PMF015,MAGA PACs - Where Small Donor Money Actually Goes,Legal Fees + Consultants,$15-28
75,2027-06-08,6,2027,TC,Tax Crimes,TC003,Lauryn Hill - The Fugees Singer Who Stopped Filing for 6 Years,$1.8M,$20-38
76,2027-06-15,6,2027,USM,USA Money Flow,UMF044,Top Infrastructure Contractors Ranked,$Billions,$15-30
76,2027-06-15,6,2027,HH,Healthcare Heist,HH040,J&J's Metal Hip Replacements - Poisoning Patients,$2.5B Settlements,$18-35
76,2027-06-15,6,2027,RER,Real Estate Rackets,RER028,Tenant Blacklisting - Secret Databases That Block Renters,Millions of Names,$15-30
76,2027-06-15,6,2027,PMF,Political Money Flow,PMF016,Blue PAC Grift - Liberal Scam Operations Exposed,$Millions,$15-28
76,2027-06-15,6,2027,TC,Tax Crimes,TC004,Willie Nelson - The $16.7 Million IRS Seizure,$16.7M,$20-38
77,2027-06-22,6,2027,USM,USA Money Flow,UMF045,Transit System Federal Funding Breakdown,$Billions,$15-30
77,2027-06-22,6,2027,HH,Healthcare Heist,HH041,Transvaginal Mesh Disaster - $8B+ Settlements,$8B+,$18-35
77,2027-06-22,6,2027,RER,Real Estate Rackets,RER029,EB-5 Visa Fraud Epidemic - Selling Green Cards for Bad Projects,$Billions,$15-30
77,2027-06-22,6,2027,PMF,Political Money Flow,PMF017,The $14B Election - Most Expensive Ever,$14B,$15-28
77,2027-06-22,6,2027,TC,Tax Crimes,TC005,Martha Stewart - The Tax Case Before the Insider Trading,Millions,$20-38
78,2027-06-29,6,2027,USM,USA Money Flow,UMF046,Who Really Gets Farm Subsidies,$20B+ Annually,$15-30
78,2027-06-29,6,2027,HH,Healthcare Heist,HH042,Medtronic's Sprint Fidelis - Defibrillator That Killed,13+ Deaths,$18-35
78,2027-06-29,6,2027,RER,Real Estate Rackets,RER030,Fontainebleau Las Vegas - $2.9B Unfinished Casino,$2.9B,$15-30
78,2027-06-29,6,2027,PMF,Political Money Flow,PMF018,Bob Menendez - Senator Indicted Twice,Gold Bars in Closet,$15-28
78,2027-06-29,6,2027,TC,Tax Crimes,TC006,Pete Rose - Gambling Winnings He Forgot to Report,$366K,$20-38
79,2027-07-06,7,2027,USM,USA Money Flow,UMF047,Crop Insurance: Government Payments to Insurers,$10B+ Annually,$15-30
79,2027-07-06,7,2027,HH,Healthcare Heist,HH043,St. Jude's Defective Heart Devices - 2000+ Injuries,2000+ Injuries,$18-35
79,2027-07-06,7,2027,RER,Real Estate Rackets,RER031,American Dream Mall - $5B Retail Disaster,$5B,$15-30
79,2027-07-06,7,2027,PMF,Political Money Flow,PMF019,Duke Cunningham - $2.4M Bribery Menu,$2.4M,$15-28
79,2027-07-06,7,2027,TC,Tax Crimes,TC007,Leona Helmsley - Only the Little People Pay Taxes,$1.2M,$20-38
80,2027-07-13,7,2027,USM,USA Money Flow,UMF048,USDA Contracts: Food Programs and Suppliers,$Billions,$15-30
80,2027-07-13,7,2027,HH,Healthcare Heist,HH044,Theranos Blood Test Fantasy - Elizabeth Holmes' Fraud,$9B Valuation,$18-35
80,2027-07-13,7,2027,RER,Real Estate Rackets,RER032,Faena Miami - $1B Development That Bankrupted Partners,$1B,$15-30
80,2027-07-13,7,2027,PMF,Political Money Flow,PMF020,Rod Blagojevich - Selling Obama's Senate Seat,It's F***ing Golden,$15-28
80,2027-07-13,7,2027,TC,Tax Crimes,TC008,Sophia Loren - The Italian Icon's Tax Prison Sentence,Millions,$20-38
81,2027-07-20,7,2027,USM,USA Money Flow,UMF049,Disaster Relief: Where FEMA Money Goes,$Billions,$15-30
81,2027-07-20,7,2027,HH,Healthcare Heist,HH045,The Nursing Home Private Equity Playbook - Profits Over Patients,Higher Death Rates,$18-35
81,2027-07-20,7,2027,RER,Real Estate Rackets,RER033,Atlantic Yards/Pacific Park - Brooklyn's 20-Year Broken Promise,$Billions,$15-30
81,2027-07-20,7,2027,PMF,Political Money Flow,PMF021,William Jefferson - $90K in the Freezer,$90K Cash,$15-28
81,2027-07-20,7,2027,TC,Tax Crimes,TC009,Richard Hatch - Survivor Winner Who Didn't Pay on $1 Million,$1M,$20-38
82,2027-07-27,7,2027,USM,USA Money Flow,UMF050,Foreign Aid Contractors: Who Delivers US Aid,$Billions,$15-30
82,2027-07-27,7,2027,HH,Healthcare Heist,HH046,Life Care Centers - Largest COVID Nursing Home Outbreak,129 Cases 35 Deaths,$18-35
82,2027-07-27,7,2027,RER,Real Estate Rackets,RER034,Hudson's Site Detroit - Stalled $900M Development,$900M,$15-30
82,2027-07-27,7,2027,PMF,Political Money Flow,PMF022,Dennis Hastert - Speaker Paying Hush Money,$3.5M,$15-28
82,2027-07-27,7,2027,TC,Tax Crimes,TC010,Ja Rule - The Fyre Festival Rapper's Tax Problems,$3M,$20-38
83,2027-08-03,8,2027,HH,Healthcare Heist,HH047,Genesis Healthcare Understaffing Crisis - 500+ Facilities,$53M Settlement,$18-35
83,2027-08-03,8,2027,RER,Real Estate Rackets,RER035,SoFla Condo Collapse Culture - Surfside Was Predictable,98 Deaths,$15-30
83,2027-08-03,8,2027,PMF,Political Money Flow,PMF023,Chris Collins - Insider Trading from White House Lawn,Congressional Picnic,$15-28
83,2027-08-03,8,2027,TC,Tax Crimes,TC011,UBS Swiss Bank Crackdown - The $780 Million Settlement,$780M,$20-38
84,2027-08-10,8,2027,HH,Healthcare Heist,HH048,Guardian Exploitation - Judges Appointing Crooked Conservators,Ongoing,$18-35
84,2027-08-10,8,2027,RER,Real Estate Rackets,RER036,Oceanwide Plaza Ghost Towers - $1B Abandoned Downtown LA,$1B,$15-30
84,2027-08-10,8,2027,PMF,Political Money Flow,PMF024,Corrine Brown - Fake Charity Real Prison Time,One Door for Education,$15-28
84,2027-08-10,8,2027,TC,Tax Crimes,TC012,Credit Suisse Guilty Plea - Aiding Tax Evasion,$2.6B,$20-38
85,2027-08-17,8,2027,HH,Healthcare Heist,HH049,Sabra Healthcare REIT - Landlords Extracting Nursing Home Profits,Ongoing,$18-35
85,2027-08-17,8,2027,RER,Real Estate Rackets,RER037,American Realty Capital - $23B Accounting Fraud,$23B,$15-30
85,2027-08-17,8,2027,PMF,Political Money Flow,PMF025,Aaron Schock - The Downton Abbey Office,$100K+ Renovation,$15-28
85,2027-08-17,8,2027,TC,Tax Crimes,TC013,The Brockman Indictment - $2 Billion Largest Tax Evasion Case,$2B,$20-38
85,2027-08-17,8,2027,WSP,Wall Street Predators,WSP001,Carl Icahn's TWA Takeover: How He Made $469M Destroying an Airline,$469M,$18-35
86,2027-08-24,8,2027,HH,Healthcare Heist,HH050,Hospice Fraud Factories - Patients Who Lived for Years,Ongoing,$18-35
86,2027-08-24,8,2027,RER,Real Estate Rackets,RER038,Cole Credit Property Trust - Non-Traded REIT Disaster,$Billions,$15-30
86,2027-08-24,8,2027,PMF,Political Money Flow,PMF026,Chaka Fattah - RICO Racketeering Bribery,Organized Crime Charges,$15-28
86,2027-08-24,8,2027,TC,Tax Crimes,TC014,HSBC Swiss Leaks - How 100000 Accounts Were Exposed,$Billions,$20-38
86,2027-08-24,8,2027,WSP,Wall Street Predators,WSP002,T. Boone Pickens' Greenmail Empire: $500M Without Buying Companies,$500M,$18-35
87,2027-08-31,8,2027,RER,Real Estate Rackets,RER039,Inland Western Retail Trust - Mall REIT That Cratered,$6.8B,$15-30
87,2027-08-31,8,2027,PMF,Political Money Flow,PMF027,Michael Grimm - Tax Fraud Congressman,Threatened Reporter,$15-28
87,2027-08-31,8,2027,TC,Tax Crimes,TC015,Panama Papers Prosecutions - Who Actually Went to Jail,$Billions,$20-38
87,2027-08-31,8,2027,WSP,Wall Street Predators,WSP003,Michael Milken's Junk Bond Machine: Financing the Raiders,$600M Fine,$18-35
88,2027-09-07,9,2027,RER,Real Estate Rackets,RER040,GPB Capital - $1.8B Private Placement Ponzi,$1.8B,$15-30
88,2027-09-07,9,2027,PMF,Political Money Flow,PMF028,Jack Abramoff - The Lobbyist Who Went to Prison,Superlobbyist Fall,$15-28
88,2027-09-07,9,2027,TC,Tax Crimes,TC016,Pandora Papers Follow-Up - The World Leaders Edition,$Billions,$20-38
88,2027-09-07,9,2027,WSP,Wall Street Predators,WSP004,The RJR Nabisco Battle: $25B Barbarians at the Gate,$25B,$18-35
89,2027-09-14,9,2027,RER,Real Estate Rackets,RER041,Woodbridge Group - $1.3B Real Estate Ponzi Scheme,$1.3B,$15-30
89,2027-09-14,9,2027,PMF,Political Money Flow,PMF029,Tony Podesta's Foreign Lobbying Empire,Ukraine + Saudi Arabia,$15-28
89,2027-09-14,9,2027,TC,Tax Crimes,TC017,The Liechtenstein Tax Affair - Germany's Data Theft Prosecution,$Billions,$20-38
89,2027-09-14,9,2027,WSP,Wall Street Predators,WSP005,Asher Edelman's Art of Corporate Raiding,$Millions,$18-35
89,2027-09-14,9,2027,BB,Bankruptcy Billions,BB001,Sears: Eddie Lampert's 15-Year Controlled Demolition,$134B,$15-28
90,2027-09-21,9,2027,RER,Real Estate Rackets,RER042,1031 Exchange Fraud - Qualified Intermediaries Who Stole,$Hundreds of Millions,$15-30
90,2027-09-21,9,2027,PMF,Political Money Flow,PMF030,Billy Tauzin - Congressman to PhRMA to $Millions,$2M/Year,$15-28
90,2027-09-21,9,2027,TC,Tax Crimes,TC018,Julius Baer Bank - Swiss Private Banking Guilty Plea,$547M,$20-38
90,2027-09-21,9,2027,WSP,Wall Street Predators,WSP006,Victor Posner's Empire of Shells: The Original Asset Stripper,$Billions,$18-35
90,2027-09-21,9,2027,BB,Bankruptcy Billions,BB002,Toys R Us: How PE Used Bankruptcy to Extract Final Fees,$6.6B,$15-28
91,2027-09-28,9,2027,RER,Real Estate Rackets,RER043,Crowdfunding Real Estate Fraud - Fundrise Competitors Failed,$Hundreds of Millions,$15-30
